word,zero_letters,one_letter
naphthylamine,No,No
nankeen,No,No
zymophore,No,No
outscent,No,No
marlier,No,No
brocaded,No,No
cimeliarch,No,No
parabasal,No,No
hummable,No,No
paragrammatist,No,No
hypocoristically,No,No
immunized,No,No
coelastraceae,No,No
tide,No,No
frisca,No,No
innovational,No,No
equestrial,No,No
adenous,No,No
filippic,No,No
aiguilles,No,No
singlemindedly,Yes,No
hogbacks,No,No
nonlosable,No,No
perpetrates,No,No
veracities,No,No
defalk,No,No
affraying,No,No
moi,No,No
jitneur,No,No
coroplasty,No,No
stinters,No,No
daren,No,No
characterizable,No,No
vibraphonist,No,No
monocyclica,No,No
angiotribe,No,No
intercommission,No,No
coulombs,No,No
frenzic,No,No
alose,No,No
nonpopulously,No,No
banderoling,No,No
goldhead,No,No
murein,No,No
turpethin,No,No
unfreight,No,No
ascendible,No,No
hypercoracoid,No,No
decentralist,No,No
diallagic,No,No
sarkit,No,No
auctioned,No,No
assimulate,No,No
eupatridae,No,No
commissionate,No,No
antirickets,No,No
fatigating,No,No
sulphito,No,No
cantaloup,No,No
curvimeter,No,No
inconfirm,No,No
growable,No,No
psf,No,No
gymnadeniopsis,No,No
benzotoluide,No,No
anthophorous,No,No
gallivants,No,No
foliates,No,No
nonfrugalness,No,No
underdrainer,No,No
yodhs,No,No
interdependence,No,No
cohabits,No,No
waggumbura,No,No
sublegislation,No,No
belecture,No,No
thoracocyrtosis,No,No
pourpiece,No,No
unaffronted,No,No
gloominess,No,No
pectinirostrate,No,No
noncontent,No,No
fluorotype,No,No
shide,No,No
dissuit,No,No
beinness,No,No
symphyseal,No,No
freeholder,No,No
chasten,No,No
wizards,No,No
partitioned,No,No
exculpating,No,No
nondialyzing,No,No
curtailed,No,No
superstructive,No,No
babblishly,No,No
outmans,No,No
canterer,No,No
propretorian,No,No
gentianella,No,No
sextodecimo,No,No
peacemaker,No,No
bajra,No,No
dowl,No,No
winterizes,No,No
catakinetic,No,No
thallium,No,No
nonparasitical,Yes,Yes
incomplex,No,No
anguillulidae,No,No
tollgatherer,No,No
diptychon,No,No
inconsolably,No,No
mundanism,No,No
hieratica,No,No
emissivity,No,No
logodaedaly,No,No
tetramerism,No,No
bikeways,No,No
deluges,No,No
flintstone,No,No
spandex,No,No
blink,No,No
meckelectomy,No,No
boyer,No,No
infill,No,No
soord,No,No
ectotoxin,No,No
homelovingness,No,No
retrogenerative,No,No
goring,No,No
amices,No,No
lopeskonce,No,No
absinthe,No,No
seaconny,No,No
pediculine,No,No
synthesism,No,No
saccharoceptor,No,No
correctable,No,No
dobbies,No,No
ethnohistoric,No,No
lettice,No,No
oxycalorimeter,No,No
issuance,No,No
papagayo,No,No
gravelstone,No,No
cacciatora,No,No
pashing,No,No
gabbart,No,No
mouldery,No,No
overgeneralize,No,No
unremunerative,Yes,Yes
cumulate,No,No
lophornis,No,No
checkerboarding,No,No
pteroid,No,No
unyieldingness,Yes,No
turki,No,No
parsimony,No,No
austrogaean,No,No
unstoppably,No,No
scudi,No,No
zilchviticetum,No,No
osteectopia,No,No
tittuppy,No,No
composed,No,No
ingenerate,No,No
joyfully,No,No
collumelliaceous,No,No
heteroinoculation,No,Yes
julole,No,No
grazioso,No,No
submonition,No,No
estuary,No,No
magnetron,No,No
unmaniacal,No,No
cancelli,No,No
sliphouse,No,No
nonglacially,No,No
skun,No,No
challenge,No,No
orthodoxicalness,No,No
celialgia,No,No
meconic,No,No
serratocrenate,No,No
eker,No,No
inbreathed,No,No
reenacts,No,No
hemoerythrin,No,No
outcutting,No,No
handlings,No,No
abduced,No,No
habilitator,No,No
asst,No,No
coordinateness,No,No
assonance,No,No
mandarinic,No,No
inexhausted,No,No
murre,No,No
rescrutinize,No,No
nance,No,No
nonvenomous,No,No
lipophore,No,No
unslagged,No,No
naphthyl,No,No
purposively,No,No
hypsipyle,No,No
indoctrinations,No,No
brevier,No,No
amblypoda,No,No
picoting,No,No
nonperformance,No,No
uncomplimentary,No,Yes
unmediaeval,No,No
preoccur,No,No
sorcerers,No,No
phenolate,No,No
antipollution,No,No
coronograph,No,No
ephetic,No,No
misconception,No,No
bedmaker,No,No
anoxyscope,No,No
enshrined,No,No
salopette,No,No
strainableness,No,No
isotropism,No,No
annexable,No,No
speluncar,No,No
derms,No,No
heartwort,No,No
petalia,No,No
polyphylogeny,No,No
syntalities,No,No
thoracoacromial,No,No
sidlins,No,No
unparenthetical,No,No
mesiolabial,No,No
worshipfully,No,No
undextrously,No,No
septipartite,No,No
warningproof,No,No
illachrymableness,No,No
overaccumulated,No,No
nonexplicative,No,No
nonformidableness,No,Yes
cephalagra,No,No
shmaltzy,No,No
haylages,No,No
unimprinted,No,No
unpeaceful,No,No
plusquam,No,No
unblown,No,No
antivolition,No,No
uniphase,No,No
bedlike,No,No
patrocliny,No,No
jargonal,No,No
rhipiphorid,No,No
sloe,No,No
cosmopolitanizing,No,No
aglaozonia,No,No
theria,No,No
bakerly,No,No
ectocuniform,No,No
rhetors,No,No
immunizer,No,No
reticulum,No,No
executancy,No,No
breads,No,No
berake,No,No
tawny,No,No
confecting,No,No
sashing,No,No
jigsaws,No,No
hatching,No,No
nonmembers,No,No
decatizing,No,No
prememoranda,No,No
unfrosted,No,No
tored,No,No
nonextrinsically,No,No
haemostatic,No,No
chatteration,No,No
nonevaluation,No,No
gemologists,No,No
dwayberry,No,No
narwhales,No,No
precentory,No,No
versa,No,No
mennom,No,No
burnet,No,No
sleuthing,No,No
unflaming,No,No
refederation,No,No
iroquois,No,No
tenderisation,No,No
enlists,No,No
phut,No,No
alexius,No,No
pattypans,No,No
plunderproof,No,No
gasher,No,No
dulcigenic,No,No
untailored,No,No
patronage,No,No
osteodermatous,No,No
retortable,No,No
infratubal,No,No
xerotherm,No,No
endiadem,No,No
havance,No,No
leapable,No,No
pseudepigraphical,No,Yes
toolmark,No,No
subdiversify,No,No
preinvolve,No,No
diphenylthiourea,No,No
almsdeed,No,No
trillado,No,No
pteropsida,No,No
dioxide,No,No
leaderless,No,No
agronomists,No,No
potto,No,No
succours,No,No
antipasto,No,No
appenage,No,No
acutiator,No,No
yakking,No,No
partaker,No,No
noncelestially,No,No
bemean,No,No
muscicapine,No,No
holocrystalline,No,No
crusadoes,No,No
demibeast,No,No
rigorous,No,No
douceness,No,No
admire,No,No
monopteroi,No,No
underletting,No,No
cronish,No,No
mistone,No,No
ballhausplatz,No,No
passeriformes,No,No
gopak,No,No
idoneous,No,No
grubbery,No,No
outdazzled,No,No
preadvisable,No,No
oily,No,No
oily,No,No
oily,No,No
oily,No,No
oily,No,No
oily,No,No
oily,No,No
oily,No,No
sinhalite,No,No
stalin,No,No
jacanidae,No,No
unsportive,No,No
beggingwise,No,No
sipunculus,No,No
neet,No,No
infrangible,No,No
confinement,No,No
ryots,No,No
piazzian,No,No
afflicted,No,No
norwestward,No,No
theopantism,No,No
selina,No,No
abortion,No,No
glibness,No,No
inefficacity,No,No
recanalization,No,No
slipt,No,No
ingrains,No,No
interlinearly,No,No
cormus,No,No
eighteenmos,No,No
postlenticular,No,Yes
nondirectional,No,No
saoshyant,No,No
anacard,No,No
objectivize,No,No
sieve,No,No
circinate,No,No
melder,No,No
animikite,No,No
defibrillatory,No,No
panoche,No,No
mammin,No,No
larvaria,No,No
theologiconatural,No,No
transparently,No,No
neoplasmata,No,No
packwall,No,No
displosion,No,No
owenist,No,No
cognate,No,No
dockhouse,No,No
nunry,No,No
semasiological,No,No
adulticide,No,No
rosinate,No,No
recontesting,No,No
unexplained,No,No
hoarhound,No,No
pearleye,No,No
unmarked,No,No
urbinate,No,No
linguoversion,No,No
fistulization,No,No
impenitibleness,No,No
peripherad,No,No
virtuless,No,No
compelling,No,No
laddered,No,No
antheming,No,No
auditress,No,No
corelation,No,No
cyanoacetic,No,No
asphodelus,No,No
classicist,No,No
level,Yes,No
romanceless,No,No
cuprein,No,No
oily,No,No
oily,No,No
oily,No,No
oily,No,No
oily,No,No
oily,No,No
oily,No,No
oily,No,No
coldly,No,No
pastil,No,No
eudialyte,No,No
semirecondite,No,No
veritist,No,No
parbreak,No,No
nondisciplined,No,Yes
tenterhooks,No,No
tinkerdom,No,No
powsoddy,No,No
arba,No,No
demureness,No,No
pestis,No,No
nowadays,No,No
lippen,No,No
staurolatries,No,No
tetrodontidae,No,No
arquerite,No,No
intill,No,No
parthenology,No,No
petaled,No,No
fibromatoid,No,No
repellant,No,No
guipure,No,No
cocama,No,No
reperusal,No,No
overplaced,No,No
mesognathism,No,No
squelch,No,No
unladed,No,No
wineberries,No,No
sneers,No,No
portico,No,No
alcyonoid,No,No
responsum,No,No
aurelius,No,No
mentalis,No,No
intraosseous,No,No
gastroesophageal,No,No
tensible,No,No
escaloped,No,No
mechanized,No,No
strickless,No,No
philatelic,No,No
militarists,No,No
keerogue,No,No
bonete,No,No
microchiria,No,No
pockmarking,No,No
apocalypt,No,No
placoidal,No,No
unattire,No,No
atlantodidymus,No,No
pseudotrachea,No,No
defeminized,No,No
erythroxylaceous,No,No
atramentary,No,No
brat,No,No
trousers,No,No
epitomizer,No,No
cardioids,No,No
preggers,No,No
lasiocampid,No,No
mussiness,No,No
bidene,No,No
nonbeneficence,No,No
glaver,No,No
cheesed,No,No
schizognathae,No,No
enamoring,No,No
pillowwork,No,No
stomatopathy,No,No
kickier,No,No
inspired,No,No
supergallantly,No,No
profaneness,No,No
catochus,No,No
hendecatoic,No,No
havent,No,No
romanos,No,No
tamperer,No,No
mediterraneous,No,No
underset,No,No
alcoholisation,No,No
sleeplessness,No,No
overprune,No,No
connectival,No,No
naturalists,No,No
pars,No,No
faden,No,No
abaciscus,No,No
visionist,No,No
amphoriloquy,No,No
assalto,No,No
pigeonman,No,No
masaridinae,No,No
inquired,No,No
beadleship,No,No
belibeling,No,No
discursive,No,No
mazuca,No,No
retain,No,No
rase,No,No
chloropsia,No,No
caffa,No,No
shittims,No,No
indicter,No,No
eurylaimi,No,No
prevailer,No,No
cannonade,No,No
dartingly,No,No
stenion,No,No
ensouls,No,No
eolation,No,No
epepophysis,No,No
diprotodont,No,Yes
peroxidic,No,No
piedness,No,No
unproducibleness,No,No
raffee,No,No
rascal,No,No
protege,No,No
unneth,No,No
antianaphylactogen,Yes,Yes
boccie,No,No
heedfulness,No,No
rhizocephala,No,No
queryingly,No,No
treenail,No,No
chytrid,No,No
sympatries,No,No
squashers,No,No
archwag,No,No
hairpiece,No,No
camoufleurs,No,No
spareribs,No,No
geitonogamous,No,No
clogger,No,No
buckwashing,No,No
forecastlemen,No,No
hyomandibula,No,No
gewgaw,No,No
atlantoodontoid,No,No
tromping,No,No
overspatter,No,No
actinologous,No,No
threatless,No,No
combos,No,No
uncombinableness,No,No
retariff,No,No
logicize,No,No
procreates,No,No
reillustrating,No,No
